time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
82050,113.0,160.0,0.11,0.17,100.0,0.16,26.0,84.0,60.0,0
82060,113.0,160.0,0.11,0.17,100.0,0.16,37.0,85.0,60.0,0
82070,113.0,160.0,0.11,0.17,100.0,0.16,25.0,85.0,60.0,0
82080,113.0,160.0,0.11,0.17,100.0,0.16,25.0,85.0,53.0,0
82090,113.0,160.0,0.11,0.17,100.0,0.16,26.0,85.0,53.0,0
82260,98.0,141.0,0.05,0.06,100.0,0.1,32.0,85.0,52.0,0
82270,98.0,141.0,0.05,0.06,100.0,0.1,31.0,85.0,52.0,0
82350,8.0,87.0,0.02,0.02,100.0,0.19,25.0,85.0,52.0,0
82370,96.0,159.0,1.99,2.13,50.0,0.39,25.0,84.0,52.0,0
82380,29.0,99.0,0.03,0.07,100.0,0.39,25.0,85.0,54.0,0
82390,29.0,99.0,0.03,0.07,100.0,0.39,27.0,85.0,54.0,0
82400,29.0,99.0,0.03,0.07,100.0,0.39,23.0,85.0,54.0,0
82410,29.0,99.0,0.03,0.07,100.0,0.39,25.0,85.0,54.0,0
82460,111.0,136.0,0.63,0.85,50.0,0.79,29.0,87.0,54.0,0
82470,117.0,199.0,0.64,0.85,50.0,0.79,31.0,87.0,54.0,0
82480,117.0,199.0,0.64,0.85,50.0,0.79,31.0,88.0,54.0,0
82490,117.0,199.0,0.64,0.85,50.0,0.79,31.0,88.0,54.0,0
82500,117.0,199.0,0.64,0.85,50.0,0.79,31.0,88.0,58.0,0
82510,117.0,199.0,0.64,0.85,50.0,0.79,35.0,88.0,58.0,0
82520,117.0,199.0,0.64,0.85,50.0,0.79,34.0,89.0,58.0,0
82530,117.0,199.0,0.64,0.85,50.0,0.79,34.0,89.0,58.0,0
82540,117.0,199.0,0.64,0.85,50.0,0.79,35.0,89.0,58.0,0
82550,117.0,199.0,0.64,0.85,50.0,0.79,33.0,90.0,58.0,0
